name,email,age
,invalid-email,
user_3_1,user1@example.com,32
user_3_2,user2@example.com,36
user_3_3,user3@example.com,23
user_3_4,user4@example.com,32
user_3_5,user5@example.com,24
user_3_6,invalid-email,42
,user7@example.com,35
user_3_8,user8@example.com,
user_3_9,user9@example.com,58
user_3_10,user10@example.com,41
user_3_11,user11@example.com,28
user_3_12,invalid-email,41
user_3_13,user13@example.com,40
,user14@example.com,31
user_3_15,user15@example.com,60
user_3_16,user16@example.com,
user_3_17,user17@example.com,59
user_3_18,invalid-email,22
user_3_19,user19@example.com,56
